No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
222,SDSS J130018.09+275723.7,13h00m18.0982s,+27d57m23.694s,195.0754094,27.9565819,0.0212380259412663,6366.99999999999,SLS,G,"IR,Vis",6.65013518826335,9,0,19,8,7,4,0,0,0,0
224,WISEA J125923.40+275510.1,12h59m23.4053s,+27d55m10.182s,194.8475221,27.919495,0.023109320515328,6928.00000000001,SLS,G,"IR,Vis",6.6986274173491,41,0,56,19,10,4,0,1,1,0
225,SDSS J130013.80+280243.5,13h00m13.8115s,+28d02m43.606s,195.0575482,28.0454461,0.0298018,8934.3548748244,SLS,G,,6.75431847440623,8,0,24,4,2,4,0,1,0,0
226,IC 4021,13h00m14.7454s,+28d02m29.260s,195.0614395,28.0414613,0.0191198939367581,5732.00000000001,SLS,G,"IR,Vis",6.79379863485597,168,3,87,38,38,10,11,8,2,0
227,COMAi J130019.734+275904.81,13h00m19.7534s,+27d59m04.992s,195.08230583333,27.98472,0.023466,7034.929819428,UUN,G,Vis,6.85494013827636,6,0,3,2,1,0,0,0,0,0
228,WISEA J125944.21+275203.6,12h59m44.2152s,+27d52m03.684s,194.93423,27.86769,0.0208077282584607,6237.99999999999,SLS,G,"IR,Vis",6.87103568124486,60,0,55,24,19,6,0,1,2,1
229,WISEA J130018.88+280033.5,13h00m18.8893s,+28d00m33.505s,195.0787057,28.009307,0.02068,6199.70803144,SLS,G,"IR,Vis",6.87295112304992,55,0,63,29,21,6,0,1,2,1
230,WISEA J130013.45+280311.6,13h00m13.4412s,+28d03m11.829s,195.0560052,28.053286,0.027025,8101.89117745,SLS,G,"IR,Vis,Xray",6.96987354919892,36,0,39,13,10,4,0,1,1,1
231,NGC 4869,12h59m23.3600s,+27d54m41.782s,194.8473334,27.9116063,0.0228199,6841.2339123142,SLS,G,"IR,Radio,Xray",6.97877191396436,295,5,110,36,36,14,9,12,6,1
232,SDSS J130020.21+275937.6,13h00m20.2192s,+27d59m37.649s,195.0842467,27.9937915,0.022722,6811.884230676,UUN,G,"Vis,Xray",6.9960756050247,13,0,12,6,4,0,0,1,0,0
