No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
330,SDSS J125942.52+280807.9,12h59m42.5334s,+28d08m07.901s,194.9272228,28.1355281,0.0308324,9243.3209820392,SLS,G,Xray,9.37160556576657,6,0,18,4,3,4,0,1,0,0
331,WISEA J125909.47+280227.2,12h59m09.4729s,+28d02m27.280s,194.7894706,28.0409111,0.0240432999818828,7208.0,SLS,G,"IR,Vis",9.37862692558476,68,0,40,29,21,2,0,1,2,0
332,IC 3955,12h59m06.0368s,+27d59m48.106s,194.7751536,27.9966962,0.0255743591788423,7666.99999999999,SLS,G,"IR,Vis,Xray",9.46966371899796,130,3,72,35,37,7,2,6,2,0
333,COMAi J130029.807+280136.36,13h00m29.8279s,+28d01m36.782s,195.12428291667,28.02688388889,0.023,6895.226534,SLS,G,Vis,9.48215023475214,5,0,4,3,3,0,0,0,0,0
334,SDSS J130030.06+280134.8,13h00m30.0636s,+28d01m34.871s,195.1252650532,28.0263530558,0.021975,6587.93926455,UUN,G,Vis,9.52282101594089,7,0,16,2,1,4,0,0,0,0
335,SDSS J130025.97+280344.6,13h00m25.9864s,+28d03m44.715s,195.1082768,28.062421,0.0251636,7543.8574961288,SLS,G,Vis,9.56591853787658,10,0,15,5,2,4,0,1,0,0
336,CGCG 160-223,12h59m13.8892s,+28d04m34.909s,194.807872,28.0763637,0.0260446845530717,7808.0,SLS,G,"IR,UV,Vis,Xray",9.58225531967091,97,1,67,28,26,8,1,3,2,1
337,WISEA J130018.55+280549.7,13h00m18.5506s,+28d05m49.769s,195.0772944,28.0971582,0.0260780409625915,7817.99999999999,SLS,G,"IR,Vis",9.58649817202533,44,0,24,20,13,0,0,1,1,1
338,WISEA J125930.13+280732.2,12h59m30.1401s,+28d07m31.868s,194.8755841,28.1255191,0.0253824,7609.4520859392,SLS,G,IR,9.59126571042081,2,0,37,5,1,4,0,1,0,0
339,WISEA J130009.14+275021.7,13h00m09.1544s,+27d50m22.230s,195.0381437,27.8395084,0.0190596,5713.9243324968,SLS,G,"IR,Vis",9.6151598797401,6,0,36,4,1,4,0,1,0,0
341,COMAi J130032.301+275841.02,13h00m32.3225s,+27d58m41.049s,195.1346772,27.9780692,0.023,6895.226534,UUN,G,Vis,9.62811918544689,5,0,0,2,2,0,0,0,0,0
343,WISEA J125936.96+274932.8,12h59m36.9667s,+27d49m32.848s,194.9040283,27.8257913,0.0208644341546444,6255.0,SLS,G,"IR,UV,Vis",9.66777384873356,59,0,70,28,18,6,0,2,2,0
344,SDSS J130032.48+275833.2,13h00m32.4929s,+27d58m33.386s,195.1353872,27.9759406,0.02814,8436.15976812,SLS,G,Vis,9.6689957312989,9,0,16,6,4,4,0,1,0,0
345,SDSS J130031.92+275711.2,13h00m31.9368s,+27d57m11.520s,195.13307,27.9532,0.0196,5875.9321768,UUN,G,Vis,9.68713686136615,7,0,15,4,1,4,0,1,0,0
346,COMAi J130027.569+280322.85,13h00m27.5640s,+28d03m22.824s,195.11485,28.05634,0.0193,5785.9944394,UUN,G,,9.69160435557627,3,0,0,2,1,0,0,0,0,0
347,COMAi J130032.579+275910.36,13h00m32.6100s,+27d59m10.680s,195.135875,27.9863,0.021808,6537.873924064,UUN,G,Vis,9.69482789320584,6,0,4,3,2,0,0,0,0,0
348,WISEA J130027.67+280324.1,13h00m27.6040s,+28d03m23.843s,195.1150169,28.0566233,0.0193,5785.9944394,UUN,G,"IR,Vis",9.70734856874237,9,0,12,6,2,0,0,1,0,0
349,COMAi J130032.287+280012.87,13h00m32.2911s,+28d00m12.912s,195.1345465,28.0035869,0.015614,4680.959439212,UUN,G,Vis,9.71345329839505,6,0,4,4,3,0,0,0,0,0
351,SDSS J125956.00+274912.2,12h59m56.0016s,+27d49m12.307s,194.98334,27.8200854,0.0253437,7597.8501178146,SLS,G,,9.78799577443463,0,0,15,2,1,4,0,0,0,0
352,WISEA J125950.28+280839.7,12h59m50.2849s,+28d08m39.736s,194.9595204,28.1443711,0.0226473,6789.4897340634,SLS,G,"IR,Vis",9.80834347577464,56,0,46,27,22,6,0,1,2,0
353,COMAi J130031.773+280121.93,13h00m31.7909s,+28d01m22.328s,195.13246208333,28.02286888889,0.027095,8122.87664951,UUN,G,Vis,9.83346323141509,6,0,3,2,1,0,0,0,0,0
354,SDSS J130010.54+275016.3,13h00m10.5421s,+27d50m16.314s,195.0439258,27.8378652,0.0274561,8231.1317060938,SLS,G,Vis,9.84872204964497,2,0,15,2,1,4,0,0,0,0
355,WISEA J130033.33+275849.8,13h00m33.3349s,+27d58m49.324s,195.1388958,27.9803679,0.017098,5125.851446884,UUN,G,"IR,Vis",9.85001178123582,13,0,36,9,4,4,0,1,0,0
356,DESI J194.7673+27.9591,12h59m04.1588s,+27d57m32.933s,194.7673285,27.9591483,0.0234571,7032.2616665518,SLS,G,,9.92599279226259,0,0,0,1,1,0,0,0,0,0
357,WISEA J125904.15+275732.8,12h59m04.1582s,+27d57m32.851s,194.7673259,27.9591255,0.0234562271743341,7032.00000000001,SLS,G,"IR,Vis",9.92631117940612,24,0,33,18,13,3,0,0,0,0
358,GIN 766,12h59m04.1527s,+27d57m32.907s,194.767303,27.959141,0.02346,7033.13106468,SLS,G,Xray,9.92739042428034,53,0,20,12,13,2,2,3,2,0
359,SDSS J125927.98+280741.7,12h59m27.9969s,+28d07m41.792s,194.8666541,28.1282757,0.0183843,5511.4744856094,SLS?,G,,9.94925893891512,3,0,15,3,1,4,0,1,0,0
360,WISEA J125940.72+280839.7,12h59m40.7279s,+28d08m39.724s,194.9196996,28.1443678,0.0256477432797859,7689.0,SLS,G,"IR,Vis",9.95937430595547,24,0,34,13,8,4,0,1,0,0
361,WISEA J130023.13+275224.0,13h00m23.1315s,+27d52m24.824s,195.0963815,27.8735624,0.02328,6979.16842224,SLS,G,"IR,Vis",9.9664285046091,5,0,27,5,2,4,0,1,0,0
